T,L,R,Mv,Type,Color,Spectral_Class
3068,3.04789E-05,0.17,16.12,Brown Dwarf,red,M
3042,1.95884E-05,0.1542,16.6,Brown Dwarf,red,M
2600,2.83139E-06,0.102,18.7,Brown Dwarf,red,M
2800,1.87068E-05,0.16,16.65,Brown Dwarf,red,M
1939,8.09096E-07,0.103,20.06,Brown Dwarf,red,M
2840,1.38038E-05,0.11,16.98,Brown Dwarf,red,M
2637,1.10662E-05,0.127,17.22,Brown Dwarf,red,M
2600,9.37562E-06,0.096,17.4,Brown Dwarf,red,M
2650,8.95365E-06,0.11,17.45,Brown Dwarf,red,M
2700,3.25087E-05,0.13,16.05,Brown Dwarf,red,M
3600,0.004528976,0.51,10.69,Red Dwarf,red,M
3129,0.001644372,0.3761,11.79,Red Dwarf,red,M
3134,0.000444631,0.196,13.21,Red Dwarf,red,M
3628,0.005495409,0.393,10.48,Red Dwarf,red,M
2650,0.001656533,0.14,11.782,Red Dwarf,red,M
3340,0.000505825,0.24,13.07,Red Dwarf,red,M
2799,0.000103753,0.16,14.79,Red Dwarf,red,M
3692,0.004092607,0.47,10.8,Red Dwarf,red,M
3192,0.000331131,0.1967,13.53,Red Dwarf,red,M
3441,0.002884032,0.351,11.18,Red Dwarf,red,M
25000,0.005011872,0.0084,10.58,White Dwarf,blue white,B
7740,0.000210863,0.01234,14.02,White Dwarf,white,A
7220,0.00017378,0.011,14.23,White Dwarf,white,F
8500,0.000135519,0.01,14.5,White Dwarf,white,A
16500,0.001499685,0.014,11.89,White Dwarf,blue white,B
12990,1.10E-03,0.00984,12.23,White Dwarf,yellowish white,F
8570,0.000178649,0.0097,14.2,White Dwarf,blue white,A
7700,0.000139316,0.0128,14.47,White Dwarf,yellowish white,F
11790,0.000787046,0.011,12.59,White Dwarf,yellowish white,F
7230,2.00E-04,0.013,14.08,White Dwarf,pale yellow orange,F
39000,6486.344335,10.6,-4.7,Main Sequence,blue,O
30000,4092.606597,6.3,-4.2,Main Sequence,blue-white,B
15276,524.8074602,7.2,-1.97,Main Sequence,blue-white,B
9700,73.79042301,2.89,0.16,Main Sequence,whitish,B
5800,0.816582371,0.9,5.05,Main Sequence,yellow-white,F
8052,9.204495718,1.8,2.42,Main Sequence,whitish,A
6757,9.289663868,1.12,2.41,Main Sequence,yellow-white,F
6380,5.754399373,0.98,2.93,Main Sequence,yellow-white,F
5936,1.406047524,1.106,4.46,Main Sequence,yellow-white,F
5587,0.831763771,0.99,5.03,Main Sequence,yellow-white,F
3826,50582.4662,19,-6.93,Supergiant,red,M
3365,25822.60191,23,-6.2,Supergiant,red,M
3270,21877.61624,88,-6.02,Supergiant,red,M
3200,66069.3448,17,-7.22,Supergiant,red,M
3008,21478.30474,25,-6,Supergiant,red,M
3600,37325.01578,29,-6.6,Supergiant,red,M
3575,44055.48635,45,-6.78,Supergiant,red,M
3574,10665.96121,89,-5.24,Supergiant,red,M
3625,42461.95639,84,-6.74,Supergiant,red,M
